run,split,step,metric,value
Reward v2,train,1,total_reward,0.10735761634199134
Reward v2,train,1,total_reward_std,0.20478076873931106
Reward v2,train,1,answer_reward,0.05696699134199134
Reward v2,train,1,answer_reward_std,0.20407790190351272
Reward v2,train,1,task_reward,0.05696699134199134
Reward v2,train,1,task_reward_std,0.20407790190351272
Reward v2,train,1,marginal_evidence_reward,0.50390625
Reward v2,train,1,current_beta,0.1
Reward v2,train,1,wasted_search_penalty,0.0
Reward v2,train,1,search_count,1.078125
Reward v2,train,1,useful_search_count,1.0078125
Reward v2,train,1,wasted_search_count,0.0703125
Reward v2,train,1,unique_support_count,1.0078125
Reward v2,train,1,multi_search,0.078125
Reward v2,train,1,evidence_gain_per_search,0.4765625
Reward v2,train,1,repeated_search_count,0.0078125
Reward v2,train,1,em,0.0390625
Reward v2,train,1,f1,0.07487148268398268
Reward v2,train,1,valid_answer,0.3515625
Reward v2,train,1,zero_variance_group_ratio,0.71875
Reward v2,train,1,trajectory_count,128.0
Reward v2,train,1,group_count,32.0
Reward v2,train,1,actor/entropy,0.21342752873897552
Reward v2,train,1,actor/pg_clipfrac,0.0
Reward v2,train,1,actor/ppo_kl,0.0
Reward v2,train,1,actor/pg_clipfrac_lower,0.0
Reward v2,train,1,actor/kl_loss,0.0
Reward v2,train,1,actor/kl_coef,0.0010000000000000005
Reward v2,train,1,actor/pg_loss,-2.1827872842550278e-11
Reward v2,train,1,actor/grad_norm,2.14627742767334
Reward v2,train,1,perf/mfu/actor,0.0
Reward v2,train,1,perf/max_memory_allocated_gb,61.554433822631836
Reward v2,train,1,perf/max_memory_reserved_gb,70.14453125
Reward v2,train,1,perf/cpu_memory_used_gb,298.1977348327637
Reward v2,train,1,actor/lr,1e-06
Reward v2,train,1,training/global_step,1.0
Reward v2,train,1,training/epoch,0.0
Reward v2,train,1,critic/score/mean,0.10735762119293213
Reward v2,train,1,critic/score/max,1.0499999523162842
Reward v2,train,1,critic/score/min,0.0
Reward v2,train,1,critic/rewards/mean,0.10735762119293213
Reward v2,train,1,critic/rewards/max,1.0499999523162842
Reward v2,train,1,critic/rewards/min,0.0
Reward v2,train,1,critic/true_reward/mean,0.10735762119293213
Reward v2,train,1,critic/true_reward/max,1.0499999523162842
Reward v2,train,1,critic/true_reward/min,0.0
Reward v2,train,1,critic/advantages/max,1.4999910593032837
Reward v2,train,1,critic/advantages/min,-1.4999970197677612
Reward v2,train,1,critic/advantages/mean,-0.3410939872264862
Reward v2,train,1,critic/advantages/std,0.846409797668457
Reward v2,train,1,critic/advantages/abs_mean,0.8250173926353455
Reward v2,train,1,critic/advantages/extreme_count,0.0
Reward v2,train,1,critic/advantages/abs_max,1.4999970197677612
Reward v2,train,1,critic/returns/max,1.4999910593032837
Reward v2,train,1,critic/returns/min,-1.4999970197677612
Reward v2,train,1,critic/returns/mean,-0.3410939872264862
Reward v2,train,1,response_length/mean,652.3046875
Reward v2,train,1,response_length/max,1024.0
Reward v2,train,1,response_length/min,130.0
Reward v2,train,1,response_length/clip_ratio,0.4375
Reward v2,train,1,response_length_non_aborted/mean,652.3046875
Reward v2,train,1,response_length_non_aborted/max,1024.0
Reward v2,train,1,response_length_non_aborted/min,130.0
Reward v2,train,1,response_length_non_aborted/clip_ratio,0.4375
Reward v2,train,1,response/aborted_ratio,0.0
Reward v2,train,1,prompt_length/mean,356.8125
Reward v2,train,1,prompt_length/max,393.0
Reward v2,train,1,prompt_length/min,343.0
Reward v2,train,1,prompt_length/clip_ratio,0.0
Reward v2,train,1,num_turns/min,4.0
Reward v2,train,1,num_turns/max,6.0
Reward v2,train,1,num_turns/mean,4.140625
Reward v2,train,1,reward_v2/answer_reward/mean,0.05696699134199134
Reward v2,train,1,reward_v2/marginal_evidence_reward/mean,0.50390625
Reward v2,train,1,reward_v2/current_beta/mean,0.10000000000000002
Reward v2,train,1,reward_v2/wasted_search_count/mean,0.0703125
Reward v2,train,1,reward_v2/wasted_search_penalty/mean,0.0
Reward v2,train,1,reward_v2/total_reward/mean,0.10735761634199134
Reward v2,train,1,reward_v2/search_count/mean,1.078125
Reward v2,train,1,reward_v2/useful_search_count/mean,1.0078125
Reward v2,train,1,reward_v2/unique_support_count/mean,1.0078125
Reward v2,train,1,reward_v2/multi_search/mean,0.078125
Reward v2,train,1,reward_v2/evidence_gain_per_search/mean,0.4765625
Reward v2,train,1,reward_v2/repeated_search_count/mean,0.0078125
Reward v2,train,1,timing_s/start_profile,5.8049336075782776e-05
Reward v2,train,1,timing_s/agent_loop/generate_sequences/min,1.2611796632409096
Reward v2,train,1,timing_s/agent_loop/generate_sequences/max,71.33829885907471
Reward v2,train,1,timing_s/agent_loop/generate_sequences/mean,30.694299402690376
Reward v2,train,1,timing_s/agent_loop/tool_calls/min,0.0006377138197422028
Reward v2,train,1,timing_s/agent_loop/tool_calls/max,0.007125537842512131
Reward v2,train,1,timing_s/agent_loop/tool_calls/mean,0.0020500475220615044
Reward v2,train,1,timing_s/agent_loop/slowest/generate_sequences,71.33829885907471
Reward v2,train,1,timing_s/agent_loop/slowest/tool_calls,0.0009094886481761932
Reward v2,train,1,timing_s/agent_loop/slowest/prompt_length,353.0
Reward v2,train,1,timing_s/agent_loop/slowest/response_length,1024.0
Reward v2,train,1,timing_s/gen,80.88450583070517
Reward v2,train,1,timing_s/reward,0.06813544034957886
Reward v2,train,1,timing_s/old_log_prob,57.38389894552529
Reward v2,train,1,timing_s/ref,84.00722993910313
Reward v2,train,1,timing_s/adv,0.005102068185806274
Reward v2,train,1,timing_s/update_actor,222.64368443749845
Reward v2,train,1,timing_s/dump_rollout_generations,0.09220113605260849
Reward v2,train,1,timing_s/step,445.1144761815667
Reward v2,train,1,timing_s/stop_profile,5.755014717578888e-05
Reward v2,train,1,timing_per_token_ms/gen,0.9687347246027327
Reward v2,train,1,timing_per_token_ms/update_actor,1.7236885925778136
Reward v2,train,1,timing_per_token_ms/ref,0.650376875975312
Reward v2,train,1,timing_per_token_ms/adv,3.949978079390459e-05
Reward v2,train,1,perf/total_num_tokens,129167.0
Reward v2,train,1,perf/time_per_step,445.1144761815667
Reward v2,train,1,perf/throughput,72.54706761509115
Reward v2,train,2,total_reward,0.14278859289617488
Reward v2,train,2,total_reward_std,0.27100173221095447
Reward v2,train,2,answer_reward,0.08854166666666667
Reward v2,train,2,answer_reward_std,0.27038223650869603
Reward v2,train,2,task_reward,0.08854166666666667
Reward v2,train,2,task_reward_std,0.27038223650869603
Reward v2,train,2,marginal_evidence_reward,0.5546875
Reward v2,train,2,current_beta,0.09836065573770493
Reward v2,train,2,wasted_search_penalty,0.0003125
Reward v2,train,2,search_count,1.1875
Reward v2,train,2,useful_search_count,1.109375
Reward v2,train,2,wasted_search_count,0.078125
Reward v2,train,2,unique_support_count,1.109375
Reward v2,train,2,multi_search,0.1875
Reward v2,train,2,evidence_gain_per_search,0.478515625
Reward v2,train,2,repeated_search_count,0.0
Reward v2,train,2,em,0.078125
Reward v2,train,2,f1,0.09895833333333333
Reward v2,train,2,valid_answer,0.3515625
Reward v2,train,2,zero_variance_group_ratio,0.5625
Reward v2,train,2,trajectory_count,128.0
Reward v2,train,2,group_count,32.0
Reward v2,train,2,actor/entropy,0.19510741531848907
Reward v2,train,2,actor/pg_clipfrac,0.0
Reward v2,train,2,actor/ppo_kl,0.0
Reward v2,train,2,actor/pg_clipfrac_lower,0.0
Reward v2,train,2,actor/kl_loss,0.00012805442228724928
Reward v2,train,2,actor/kl_coef,0.0010000000000000005
Reward v2,train,2,actor/pg_loss,-9.458744898438454e-11
Reward v2,train,2,actor/grad_norm,2.7536182403564453
Reward v2,train,2,perf/mfu/actor,0.0
Reward v2,train,2,perf/max_memory_allocated_gb,62.04051065444946
Reward v2,train,2,perf/max_memory_reserved_gb,70.203125
Reward v2,train,2,perf/cpu_memory_used_gb,387.05610275268555
Reward v2,train,2,actor/lr,1e-06
Reward v2,train,2,training/global_step,2.0
Reward v2,train,2,training/epoch,0.0
Reward v2,train,2,critic/score/mean,0.1427885740995407
Reward v2,train,2,critic/score/max,1.0983606576919556
Reward v2,train,2,critic/score/min,0.0
Reward v2,train,2,critic/rewards/mean,0.1427885740995407
Reward v2,train,2,critic/rewards/max,1.0983606576919556
Reward v2,train,2,critic/rewards/min,0.0
Reward v2,train,2,critic/true_reward/mean,0.1427885740995407
Reward v2,train,2,critic/true_reward/max,1.0983606576919556
Reward v2,train,2,critic/true_reward/min,0.0
Reward v2,train,2,critic/advantages/max,1.4999970197677612
Reward v2,train,2,critic/advantages/min,-1.4999970197677612
Reward v2,train,2,critic/advantages/mean,-0.311007022857666
Reward v2,train,2,critic/advantages/std,0.873150110244751
Reward v2,train,2,critic/advantages/abs_mean,0.8235848546028137
Reward v2,train,2,critic/advantages/extreme_count,0.0
Reward v2,train,2,critic/advantages/abs_max,1.4999970197677612
Reward v2,train,2,critic/returns/max,1.4999970197677612
Reward v2,train,2,critic/returns/min,-1.4999970197677612
Reward v2,train,2,critic/returns/mean,-0.311007022857666
Reward v2,train,2,response_length/mean,658.7265625
Reward v2,train,2,response_length/max,1024.0
Reward v2,train,2,response_length/min,157.0
Reward v2,train,2,response_length/clip_ratio,0.4375
Reward v2,train,2,response_length_non_aborted/mean,658.7265625
Reward v2,train,2,response_length_non_aborted/max,1024.0
Reward v2,train,2,response_length_non_aborted/min,157.0
Reward v2,train,2,response_length_non_aborted/clip_ratio,0.4375
Reward v2,train,2,response/aborted_ratio,0.0
Reward v2,train,2,prompt_length/mean,355.15625
Reward v2,train,2,prompt_length/max,377.0
Reward v2,train,2,prompt_length/min,342.0
Reward v2,train,2,prompt_length/clip_ratio,0.0
Reward v2,train,2,num_turns/min,4.0
Reward v2,train,2,num_turns/max,6.0
Reward v2,train,2,num_turns/mean,4.375
Reward v2,train,2,reward_v2/answer_reward/mean,0.08854166666666666
