run,split,step,metric,value
Vanilla GRPO,train,1,total_reward,0.22984871031746032
Vanilla GRPO,train,1,total_reward_std,0.39952677045943985
Vanilla GRPO,train,1,em,0.203125
Vanilla GRPO,train,1,f1,0.25657242063492064
Vanilla GRPO,train,1,valid_answer,0.5703125
Vanilla GRPO,train,1,search_count,1.2265625
Vanilla GRPO,train,1,multi_search,0.1875
Vanilla GRPO,train,1,zero_variance_group_ratio,0.625
Vanilla GRPO,train,1,trajectory_count,128.0
Vanilla GRPO,train,1,group_count,32.0
Vanilla GRPO,train,1,actor/entropy,0.22571036219596863
Vanilla GRPO,train,1,actor/pg_clipfrac,0.0
Vanilla GRPO,train,1,actor/ppo_kl,0.0
Vanilla GRPO,train,1,actor/pg_clipfrac_lower,0.0
Vanilla GRPO,train,1,actor/kl_loss,0.0
Vanilla GRPO,train,1,actor/kl_coef,0.0010000000000000005
Vanilla GRPO,train,1,actor/pg_loss,-5.093170329928398e-11
Vanilla GRPO,train,1,actor/grad_norm,2.835455894470215
Vanilla GRPO,train,1,perf/mfu/actor,0.0
Vanilla GRPO,train,1,perf/max_memory_allocated_gb,61.62255668640137
Vanilla GRPO,train,1,perf/max_memory_reserved_gb,70.55078125
Vanilla GRPO,train,1,perf/cpu_memory_used_gb,206.42617416381836
Vanilla GRPO,train,1,actor/lr,1e-06
Vanilla GRPO,train,1,training/global_step,1.0
Vanilla GRPO,train,1,training/epoch,0.0
Vanilla GRPO,train,1,critic/score/mean,0.229848712682724
Vanilla GRPO,train,1,critic/score/max,1.0
Vanilla GRPO,train,1,critic/score/min,0.0
Vanilla GRPO,train,1,critic/rewards/mean,0.229848712682724
Vanilla GRPO,train,1,critic/rewards/max,1.0
Vanilla GRPO,train,1,critic/rewards/min,0.0
Vanilla GRPO,train,1,critic/true_reward/mean,0.229848712682724
Vanilla GRPO,train,1,critic/true_reward/max,1.0
Vanilla GRPO,train,1,critic/true_reward/min,0.0
Vanilla GRPO,train,1,critic/advantages/max,1.4999970197677612
Vanilla GRPO,train,1,critic/advantages/min,-1.4999970197677612
Vanilla GRPO,train,1,critic/advantages/mean,-0.4045356214046478
Vanilla GRPO,train,1,critic/advantages/std,0.7395437359809875
Vanilla GRPO,train,1,critic/advantages/abs_mean,0.7682700753211975
Vanilla GRPO,train,1,critic/advantages/extreme_count,0.0
Vanilla GRPO,train,1,critic/advantages/abs_max,1.4999970197677612
Vanilla GRPO,train,1,critic/returns/max,1.4999970197677612
Vanilla GRPO,train,1,critic/returns/min,-1.4999970197677612
Vanilla GRPO,train,1,critic/returns/mean,-0.4045356214046478
Vanilla GRPO,train,1,response_length/mean,559.15625
Vanilla GRPO,train,1,response_length/max,1024.0
Vanilla GRPO,train,1,response_length/min,130.0
Vanilla GRPO,train,1,response_length/clip_ratio,0.2734375
Vanilla GRPO,train,1,response_length_non_aborted/mean,559.15625
Vanilla GRPO,train,1,response_length_non_aborted/max,1024.0
Vanilla GRPO,train,1,response_length_non_aborted/min,130.0
Vanilla GRPO,train,1,response_length_non_aborted/clip_ratio,0.2734375
Vanilla GRPO,train,1,response/aborted_ratio,0.0
Vanilla GRPO,train,1,prompt_length/mean,356.8125
Vanilla GRPO,train,1,prompt_length/max,393.0
Vanilla GRPO,train,1,prompt_length/min,343.0
Vanilla GRPO,train,1,prompt_length/clip_ratio,0.0
Vanilla GRPO,train,1,num_turns/min,4.0
Vanilla GRPO,train,1,num_turns/max,8.0
Vanilla GRPO,train,1,num_turns/mean,4.453125
Vanilla GRPO,train,1,timing_s/start_profile,8.261948823928833e-05
Vanilla GRPO,train,1,timing_s/agent_loop/generate_sequences/min,2.1237604739144444
Vanilla GRPO,train,1,timing_s/agent_loop/generate_sequences/max,97.61284732539207
Vanilla GRPO,train,1,timing_s/agent_loop/generate_sequences/mean,29.044712062939652
Vanilla GRPO,train,1,timing_s/agent_loop/tool_calls/min,0.000864250585436821
